condition	speaker	system	text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event	cos_own_event_matched	cos_other_event_matched	cos_prompt
flat	p229	f5	1	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p229_t1.wav	0.65948496422952041	0.47943705613187748	0.72468148647516983	0.53680404628897516	0.75559691487847336
flat	p229	f5	1	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p229_t1.wav	0.9526139925738859	0.93599993441907237	0.94627834335398953	0.90612489364270732	0.93361111402702257
flat	p229	f5	2	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p229_t2.wav	0.73566344539322115	0.60023689672592051	0.77823716424855172	0.63242488899729432	0.82261547897292009
flat	p229	f5	2	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p229_t2.wav	0.97589459177773952	0.95943268890491618	0.96493498510334375	0.93076880695641762	0.95752237287514963
flat	p229	f5	3	B	ecapa	exp211/clones/flat/f5__mic1__seedB/p229_t3.wav	0.64464432707786912	0.47927232863796798	0.71142388216861008	0.50313526534470521	0.76483634754106944
flat	p229	f5	3	B	wavlmsv	exp211/clones/flat/f5__mic1__seedB/p229_t3.wav	0.8765393131507393	0.85873612851640702	0.89817101673739108	0.83836867644552493	0.88910546814471259
flat	p229	xtts	0	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p229_t0.wav	0.51316626103579299	0.35127791840255773	0.54901366077616343	0.35798637400974215	0.58751187391276949
flat	p229	xtts	0	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p229_t0.wav	0.85607833199433814	0.83648628753087095	0.87999224885029825	0.81554981747324085	0.8653466974983981
flat	p229	xtts	1	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p229_t1.wav	0.40105163774264352	0.2139754466529884	0.4113835056852182	0.17804926043156577	0.46131639666719637
flat	p229	xtts	1	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p229_t1.wav	0.75557247944382167	0.71553435505750984	0.79688841093488239	0.68980308857366168	0.78208383983273988
flat	p229	xtts	2	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p229_t2.wav	0.41548003978578602	0.33358595541450009	0.48203540119977051	0.34768805505436956	0.51521364218937871
flat	p229	xtts	2	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p229_t2.wav	0.82417936797767499	0.78491694950272672	0.86093515456134906	0.76573984549691265	0.89154821073214729
flat	p229	xtts	3	B	ecapa	exp211/clones/flat/xtts__mic1__seedB/p229_t3.wav	0.38687524367059112	0.28696059861449041	0.38756568755254872	0.21537595232018802	0.46391352151530607
flat	p229	xtts	3	B	wavlmsv	exp211/clones/flat/xtts__mic1__seedB/p229_t3.wav	0.81792846108572337	0.79024506565759645	0.85441669634610307	0.76872606681006161	0.86349845947550219
flat	p229	cosy	0	B	ecapa	exp211/clones/flat/cosy__mic1__seedB/p229_t0.wav	0.65178532718336069	0.57543636612626559	0.6837747069176543	0.65376392208820633	0.71528423762168847
flat	p229	cosy	0	B	wavlmsv	exp211/clones/flat/cosy__mic1__seedB/p229_t0.wav	0.90711737195024644	0.89190556428904944	0.91260504229493933	0.86007094494196146	0.90937786608766191
flat	p229	cosy	1	B	ecapa	exp211/clones/flat/cosy__mic1__seedB/p229_t1.wav	0.69010222046198955	0.58353805433339079	0.73377162785441952	0.64523234106193406	0.76322439756839699
flat	p229	cosy	1	B	wavlmsv	exp211/clones/flat/cosy__mic1__seedB/p229_t1.wav	0.94708472228969831	0.92116015589287348	0.95959097327016551	0.90444989537382647	0.9574113987872378
flat	p229	cosy	2	B	ecapa	exp211/clones/flat/cosy__mic1__seedB/p229_t2.wav	0.66721810786199076	0.57962461036026469	0.72497725298445803	0.6314306988563696	0.74084418541130836
flat	p229	cosy	2	B	wavlmsv	exp211/clones/flat/cosy__mic1__seedB/p229_t2.wav	0.92773943461738428	0.89827868901084851	0.94266347524499505	0.87539882793776891	0.93762424366929853
flat	p229	cosy	3	B	ecapa	exp211/clones/flat/cosy__mic1__seedB/p229_t3.wav	0.48713697327051031	0.4810785851372722	0.53078449936788963	0.50413462712146584	0.54950125691278573
flat	p229	cosy	3	B	wavlmsv	exp211/clones/flat/cosy__mic1__seedB/p229_t3.wav	0.88404838137527908	0.89068589151540156	0.88087915157673558	0.86613855641098869	0.87375806809605738
flat	p229	seedvc	0	B	ecapa	exp211/clones/flat/seedvc__mic1__seedB/p229_t0.wav	0.49534391929544719	0.44327836466490977	0.62757024235903103	0.51616332715684088	0.64734441730777625
flat	p229	seedvc	0	B	wavlmsv	exp211/clones/flat/seedvc__mic1__seedB/p229_t0.wav	0.80969855047360584	0.79782696248346996	0.8397650973779599	0.77889158572685158	0.83691620037649372
flat	p229	seedvc	1	B	ecapa	exp211/clones/flat/seedvc__mic1__seedB/p229_t1.wav	0.51005463618433888	0.41450873520485965	0.58490897985343071	0.45154817812826087	0.6297138170938974
flat	p229	seedvc	1	B	wavlmsv	exp211/clones/flat/seedvc__mic1__seedB/p229_t1.wav	0.74871667742230996	0.75019754246988257	0.77285615793703644	0.72015740905634584	0.75706038490335237
flat	p229	seedvc	2	B	ecapa	exp211/clones/flat/seedvc__mic1__seedB/p229_t2.wav	0.4962948117937615	0.44320632390869596	0.56774397115533826	0.46932842533761709	0.58270185519781204
