speaker	gen1_system	gen1_text_index	gen2_system	gen2_text_index	seed_arm	readout	clone_path	cos_own_event	cos_other_event
p231	xtts	2	cosy	3	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p231_t3.wav	0.57888734656154195	0.60251049730401562
p231	xtts	2	cosy	3	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p231_t3.wav	0.93297073354790561	0.94742077235881783
p231	xtts	3	cosy	0	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p231_t0.wav	0.53612402064345122	0.51335012069516184
p231	xtts	3	cosy	0	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p231_t0.wav	0.87071931886043341	0.89364336190422744
p231	xtts	3	cosy	0	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p231_t0.wav	0.60923722169741112	0.62432238409522522
p231	xtts	3	cosy	0	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p231_t0.wav	0.95295062361993577	0.9672985931081044
p231	cosy	0	seedvc	1	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p231_t1.wav	0.60949916015180516	0.60280488835900159
p231	cosy	0	seedvc	1	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p231_t1.wav	0.81829824717332145	0.82800205695057405
p231	cosy	0	seedvc	1	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p231_t1.wav	0.58094844229205922	0.57131427648742505
p231	cosy	0	seedvc	1	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p231_t1.wav	0.8012860098864486	0.7813279816722718
p231	cosy	1	seedvc	2	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p231_t2.wav	0.64262497214235803	0.6003214885267556
p231	cosy	1	seedvc	2	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p231_t2.wav	0.7862097457804208	0.79669125927750528
p231	cosy	1	seedvc	2	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p231_t2.wav	0.59965541072452899	0.62529486363471232
p231	cosy	1	seedvc	2	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p231_t2.wav	0.81936803252239132	0.80635597171742412
p231	cosy	2	seedvc	3	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p231_t3.wav	0.66913158296035535	0.60002242758924296
p231	cosy	2	seedvc	3	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p231_t3.wav	0.80329055019800155	0.82251521939761252
p231	cosy	2	seedvc	3	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p231_t3.wav	0.61105544732579842	0.65065752933593446
p231	cosy	2	seedvc	3	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p231_t3.wav	0.8260167011937527	0.80987843437111551
p231	cosy	3	seedvc	0	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p231_t0.wav	0.54446586349429293	0.5262313231663589
p231	cosy	3	seedvc	0	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p231_t0.wav	0.81085802562220399	0.83087886818350376
p231	cosy	3	seedvc	0	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p231_t0.wav	0.61554338221992422	0.59458893900904164
p231	cosy	3	seedvc	0	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p231_t0.wav	0.85759634170482335	0.83224774883880559
p231	seedvc	0	f5	1	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p231_t1.wav	0.589395845283746	0.59018047496143011
p231	seedvc	0	f5	1	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p231_t1.wav	0.75685859462792004	0.77577256375415793
p231	seedvc	0	f5	1	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p231_t1.wav	0.62504459430493697	0.57723415141313872
p231	seedvc	0	f5	1	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p231_t1.wav	0.78186972088633588	0.74957117662955397
p231	seedvc	1	f5	2	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p231_t2.wav	0.57632408619826891	0.54732179584951424
p231	seedvc	1	f5	2	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p231_t2.wav	0.77295194668967515	0.78831106202767454
p231	seedvc	1	f5	2	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p231_t2.wav	0.57222205447571173	0.53659841604945635
p231	seedvc	1	f5	2	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p231_t2.wav	0.80499677505578027	0.78751156320103433
p231	seedvc	2	f5	3	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p231_t3.wav	0.56069722644536002	0.47160147956766252
p231	seedvc	2	f5	3	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p231_t3.wav	0.77750466272874186	0.77496791460628778
p231	seedvc	2	f5	3	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p231_t3.wav	0.47983833511268276	0.50711763242259944
p231	seedvc	2	f5	3	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p231_t3.wav	0.78715378175893069	0.77791445501989864
p231	seedvc	3	f5	0	A	ecapa	exp210/clones/f5__from_seedvc__seedA/p231_t0.wav	0.54933906693796986	0.49747392437301974
p231	seedvc	3	f5	0	A	wavlmsv	exp210/clones/f5__from_seedvc__seedA/p231_t0.wav	0.73970064181045403	0.75488668328953912
p231	seedvc	3	f5	0	B	ecapa	exp210/clones/f5__from_seedvc__seedB/p231_t0.wav	0.58785822375646812	0.5535649724576881
p231	seedvc	3	f5	0	B	wavlmsv	exp210/clones/f5__from_seedvc__seedB/p231_t0.wav	0.7995711175887712	0.7791786787640147
p257	f5	0	xtts	1	A	ecapa	exp210/clones/xtts__from_f5__seedA/p257_t1.wav	0.54727457095314791	0.52266820950403259
p257	f5	0	xtts	1	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p257_t1.wav	0.8510491030376528	0.84091513710739452
p257	f5	0	xtts	1	B	ecapa	exp210/clones/xtts__from_f5__seedB/p257_t1.wav	0.55938522886750719	0.53322167197296222
p257	f5	0	xtts	1	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p257_t1.wav	0.88039768193997558	0.88718946926851006
p257	f5	1	xtts	2	A	ecapa	exp210/clones/xtts__from_f5__seedA/p257_t2.wav	0.66728717080262823	0.68652574174426428
p257	f5	1	xtts	2	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p257_t2.wav	0.94851133297727874	0.93976046880783715
p257	f5	1	xtts	2	B	ecapa	exp210/clones/xtts__from_f5__seedB/p257_t2.wav	0.68756700608797949	0.63819114822670564
p257	f5	1	xtts	2	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p257_t2.wav	0.96449009382668538	0.97018181712716745
p257	f5	2	xtts	3	A	ecapa	exp210/clones/xtts__from_f5__seedA/p257_t3.wav	0.60891285214289415	0.62595771315329796
p257	f5	2	xtts	3	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p257_t3.wav	0.94599784488165939	0.94141996500959957
p257	f5	2	xtts	3	B	ecapa	exp210/clones/xtts__from_f5__seedB/p257_t3.wav	0.64916618819394833	0.61202297945216955
p257	f5	2	xtts	3	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p257_t3.wav	0.96402326708932295	0.96580929105683033
p257	f5	3	xtts	0	A	ecapa	exp210/clones/xtts__from_f5__seedA/p257_t0.wav	0.49375881710496888	0.49063555122329111
p257	f5	3	xtts	0	A	wavlmsv	exp210/clones/xtts__from_f5__seedA/p257_t0.wav	0.88300680551250232	0.87616367173943321
p257	f5	3	xtts	0	B	ecapa	exp210/clones/xtts__from_f5__seedB/p257_t0.wav	0.60203260061811925	0.55673741994548975
p257	f5	3	xtts	0	B	wavlmsv	exp210/clones/xtts__from_f5__seedB/p257_t0.wav	0.87909533542261287	0.89123533491702078
p257	xtts	0	cosy	1	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p257_t1.wav	0.47904123845941637	0.51742107000679227
p257	xtts	0	cosy	1	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p257_t1.wav	0.86974262634577038	0.86099745259843563
p257	xtts	0	cosy	1	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p257_t1.wav	0.50188607140811314	0.42273852136830914
p257	xtts	0	cosy	1	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p257_t1.wav	0.87758876434920852	0.89052083404447624
p257	xtts	1	cosy	2	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p257_t2.wav	0.57787000653958132	0.5589833217237683
p257	xtts	1	cosy	2	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p257_t2.wav	0.92733571802773374	0.92563091818648857
p257	xtts	1	cosy	2	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p257_t2.wav	0.64947656337146231	0.61977827344399861
p257	xtts	1	cosy	2	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p257_t2.wav	0.96622994802050088	0.95985551921381629
p257	xtts	2	cosy	3	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p257_t3.wav	0.54655173285883885	0.56006956064666835
p257	xtts	2	cosy	3	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p257_t3.wav	0.95473620965525774	0.96107587707970765
p257	xtts	2	cosy	3	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p257_t3.wav	0.53632975552650342	0.48771041767859291
p257	xtts	2	cosy	3	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p257_t3.wav	0.93523139634852925	0.92883781980478597
p257	xtts	3	cosy	0	A	ecapa	exp210/clones/cosy__from_xtts__seedA/p257_t0.wav	0.58741026334643898	0.60672214032316085
p257	xtts	3	cosy	0	A	wavlmsv	exp210/clones/cosy__from_xtts__seedA/p257_t0.wav	0.94203094797963605	0.94829056221688957
p257	xtts	3	cosy	0	B	ecapa	exp210/clones/cosy__from_xtts__seedB/p257_t0.wav	0.57652891586790855	0.50102804229569553
p257	xtts	3	cosy	0	B	wavlmsv	exp210/clones/cosy__from_xtts__seedB/p257_t0.wav	0.94659412974297974	0.9326350176520638
p257	cosy	0	seedvc	1	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p257_t1.wav	0.65524598097352471	0.57320125412232703
p257	cosy	0	seedvc	1	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p257_t1.wav	0.83990574778578952	0.81273405012043221
p257	cosy	0	seedvc	1	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p257_t1.wav	0.63735857227237591	0.58466499642014447
p257	cosy	0	seedvc	1	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p257_t1.wav	0.85266252380675867	0.86804305987691044
p257	cosy	1	seedvc	2	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p257_t2.wav	0.67343814839423422	0.60249067323520356
p257	cosy	1	seedvc	2	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p257_t2.wav	0.84979015521548407	0.8295099979909748
p257	cosy	1	seedvc	2	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p257_t2.wav	0.57356293274401615	0.55112277231640683
p257	cosy	1	seedvc	2	B	wavlmsv	exp210/clones/seedvc__from_cosy__seedB/p257_t2.wav	0.83959866766728131	0.84633573512822968
p257	cosy	2	seedvc	3	A	ecapa	exp210/clones/seedvc__from_cosy__seedA/p257_t3.wav	0.59307581368540241	0.5965809125566004
p257	cosy	2	seedvc	3	A	wavlmsv	exp210/clones/seedvc__from_cosy__seedA/p257_t3.wav	0.86611182631707861	0.8506083032832521
p257	cosy	2	seedvc	3	B	ecapa	exp210/clones/seedvc__from_cosy__seedB/p257_t3.wav	0.58286502367401627	0.54548998810834615
