speaker	direction	readout	query_system	query_text_index	query_prompt_mic	query_seed_arm	query_clone_sha256	candidate_system	candidate_text_index	candidate_prompt_mic	own_seed_arm	own_clone_sha256	other_seed_arm	other_clone_sha256	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	cosy	3	mic2	A	2c927d8c1e170d1e	B	b7202c491edba90a	0.92063494045624472	0.89619160443352253
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.42178220920083148	0.35821564175619869
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.75278567159479193	0.76017364383819652
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.38775991528396814	0.29853274437156618
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	seedvc	2	mic2	A	2231bd1964b29cd8	B	ff750a1108f05305	0.77917458220580571	0.7921155182240569
p229	primary_mic1_to_mic2	ecapa	xtts	0	mic1	A	59b3213a8621fcda	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.45501732857858912	0.43738546861010125
p229	primary_mic1_to_mic2	wavlm	xtts	0	mic1	A	59b3213a8621fcda	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.82061382557226215	0.75455284269948542
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	f5	0	mic2	A	1e836885166c83c7	B	df8ff7bb798e2f7a	0.50339805795954384	0.54447227008846077
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	f5	0	mic2	A	1e836885166c83c7	B	df8ff7bb798e2f7a	0.96516842143689163	0.93855848494567895
p229	primary_mic1_to_mic2	ecapa	xtts	1	mic1	A	f5b503720c29fe48	f5	2	mic2	A	2844d0f70f8faba7	B	e544f3cae79ecdc8	0.47233139018716297	0.39005080484509269
p229	primary_mic1_to_mic2	wavlm	xtts	1	mic1	A	f5b503720c29fe48	f5	2	mic2	A	2844d0f70f8faba7	B	e544f3cae79ecdc8	0.9676373062453536	0.76213125941512749
